pose,start,finish_time,goal_state
"[651, 234]",1515862068.679561,1515862090.029465,4
"[651, 235]",1515862102.040549,1515862123.391129,4
"[651, 236]",1515862135.402649,1515862156.751798,4
"[651, 237]",1515862168.761521,1515862190.11231,4
"[651, 238]",1515862202.122908,1515862223.474166,4
"[651, 239]",1515862235.48223,1515862256.832462,4
"[651, 240]",1515862268.84026,1515862290.190095,4
"[651, 241]",1515862302.200279,1515862323.549462,4
"[651, 242]",1515862335.556291,1515862356.905848,4
"[651, 243]",1515862368.916198,1515862390.265868,4
"[651, 244]",1515862402.276744,1515862423.627727,4
"[651, 245]",1515862435.636558,1515862456.648315,4
"[651, 246]",1515862468.658083,1515862490.00853,4
"[651, 247]",1515862502.01949,1515862523.369457,4
"[651, 248]",1515862535.380788,1515862556.729496,4
"[651, 249]",1515862568.740221,1515862590.09088,4
"[651, 250]",1515862602.09902,1515862623.449136,4
"[651, 251]",1515862635.457582,1515862656.805366,4
"[651, 252]",1515862668.817072,1515862690.164206,4
"[651, 253]",1515862702.173749,1515862723.518867,4
"[651, 254]",1515862735.532105,1515862756.880099,4
"[651, 255]",1515862768.887831,1515862790.236028,4
"[651, 256]",1515862802.245391,1515862823.593358,4
"[651, 257]",1515862835.601558,1515862856.949614,4
"[651, 258]",1515862868.95839,1515862890.306473,4
"[651, 259]",1515862902.318081,1515862923.666573,4
"[651, 260]",1515862935.672523,1515862957.020668,4
"[651, 261]",1515862969.029802,1515862990.377846,4
"[651, 262]",1515863002.384925,1515863023.733823,4
"[651, 263]",1515863035.739381,1515863057.087196,4
"[651, 264]",1515863069.096278,1515863090.444531,4
"[651, 265]",1515863102.453056,1515863123.801893,4
"[651, 266]",1515863135.814904,1515863157.162846,4
"[651, 267]",1515863169.171327,1515863190.519041,4
"[651, 268]",1515863202.527818,1515863223.873837,4
"[651, 269]",1515863235.887111,1515863257.234589,4
"[651, 270]",1515863269.24245,1515863290.590849,4
"[651, 271]",1515863302.599987,1515863323.947591,4
"[651, 272]",1515863335.956188,1515863357.305166,4
"[651, 273]",1515863369.312235,1515863390.660835,4
"[651, 274]",1515863402.669591,1515863424.017429,4
"[651, 275]",1515863436.023108,1515863457.367537,4
"[651, 276]",1515863469.378022,1515863490.725687,4
"[651, 277]",1515863502.736185,1515863524.084435,4
"[651, 278]",1515863536.09445,1515863557.442385,4
"[651, 279]",1515863569.450113,1515863590.798407,4
"[651, 280]",1515863602.805818,1515863624.153534,4
"[651, 281]",1515863636.162087,1515863657.510411,4
"[651, 282]",1515863669.51794,1515863690.866328,4
"[651, 283]",1515863702.873542,1515863724.221697,4
"[651, 284]",1515863736.232014,1515863757.580526,4
"[651, 285]",1515863769.58783,1515863790.935532,4
"[651, 286]",1515863802.943201,1515863824.289572,4
"[651, 287]",1515863836.298586,1515863857.647226,4
"[651, 288]",1515863869.657519,1515863891.005873,4
"[651, 289]",1515863903.014309,1515863924.36251,4
"[651, 290]",1515863936.371319,1515863957.719196,4
"[651, 291]",1515863969.727419,1515863991.074758,4
"[651, 292]",1515864003.087068,1515864024.435288,4
"[651, 293]",1515864036.447789,1515864057.796484,4
"[651, 294]",1515864069.807287,1515864091.155226,4
"[651, 295]",1515864103.163497,1515864124.51211,4
"[651, 296]",1515864136.520048,1515864157.868746,4
"[651, 297]",1515864169.87627,1515864191.224788,4
"[651, 298]",1515864203.234486,1515864224.579983,4
"[651, 299]",1515864236.588203,1515864257.936481,4
"[651, 300]",1515864269.945605,1515864291.293864,4
"[651, 301]",1515864303.302375,1515864324.312213,4
"[651, 302]",1515864336.323352,1515864357.671525,4
"[651, 303]",1515864369.683133,1515864391.030756,4
"[651, 304]",1515864403.038874,1515864424.387716,4
