pose,start,finish_time,goal_state
"[652, 278]",1515863910.158276,1515863931.169591,4
"[652, 279]",1515863943.178942,1515863964.527753,4
"[652, 280]",1515863976.538059,1515863997.886141,4
"[652, 281]",1515864009.891872,1515864031.240111,4
"[652, 282]",1515864043.253785,1515864064.602976,4
"[652, 283]",1515864076.610473,1515864097.95799,4
"[652, 284]",1515864109.96779,1515864131.316115,4
"[652, 285]",1515864143.326432,1515864164.675384,4
"[652, 286]",1515864176.684346,1515864198.032519,4
"[652, 287]",1515864210.04287,1515864231.39127,4
"[652, 288]",1515864243.400002,1515864264.747821,4
"[652, 289]",1515864276.758626,1515864298.106643,4
"[652, 290]",1515864310.114909,1515864331.462673,4
"[652, 291]",1515864343.475513,1515864364.823398,4
"[652, 292]",1515864376.834071,1515864398.182598,4
"[652, 293]",1515864410.194312,1515864431.542076,4
"[652, 294]",1515864443.552363,1515864464.900927,4
"[652, 295]",1515864476.912316,1515864497.923127,4
"[652, 296]",1515864509.932524,1515864531.281062,4
"[652, 297]",1515864543.293903,1515864564.639359,4
"[652, 298]",1515864576.649768,1515864597.996921,4
"[652, 299]",1515864610.005594,1515864631.014072,4
"[652, 300]",1515864643.018078,1515864664.366644,4
"[652, 301]",1515864676.37621,1515864697.724655,4
"[652, 302]",1515864709.734065,1515864731.082354,4
"[652, 303]",1515864743.091935,1515864764.43945,4
"[652, 304]",1515864776.446379,1515864797.794963,4
"[652, 305]",1515864809.802556,1515864831.151406,4
"[652, 306]",1515864843.162605,1515864864.511955,4
"[652, 307]",1515864876.520505,1515864897.869023,4
"[652, 308]",1515864909.87933,1515864931.228113,4
"[652, 309]",1515864943.23911,1515864964.2507,4
"[652, 310]",1515864976.262052,1515864997.611361,4
"[652, 311]",1515865009.621616,1515865030.970257,4
"[652, 312]",1515865042.977053,1515865064.325537,4
"[652, 313]",1515865076.332022,1515865097.680447,4
"[652, 314]",1515865109.690074,1515865131.037242,4
"[652, 315]",1515865143.047937,1515865164.396638,4
"[652, 316]",1515865176.407009,1515865197.753939,4
"[652, 317]",1515865209.767893,1515865231.115849,4
"[652, 318]",1515865243.126067,1515865264.473268,4
"[652, 319]",1515865276.487006,1515865297.834966,4
"[652, 320]",1515865309.846203,1515865331.192235,4
"[652, 321]",1515865343.202732,1515865364.549435,4
"[652, 322]",1515865376.558167,1515865397.906644,4
"[652, 323]",1515865409.913975,1515865431.261028,4
"[652, 324]",1515865443.269396,1515865464.618354,4
"[652, 325]",1515865476.628663,1515865497.976542,4
"[652, 326]",1515865509.984234,1515865531.331674,4
"[652, 327]",1515865543.342086,1515865564.353235,4
"[652, 328]",1515865576.363926,1515865597.712857,4
"[652, 329]",1515865609.724301,1515865631.07063,4
"[652, 330]",1515865643.082116,1515865664.427511,4
"[652, 331]",1515865676.435435,1515865697.783,4
"[652, 332]",1515865709.794051,1515865730.804339,4
"[652, 333]",1515865742.815773,1515865764.164381,4
"[652, 334]",1515865776.17006,1515865797.518611,4
"[652, 335]",1515865809.528651,1515865830.877137,4
"[652, 336]",1515865842.887747,1515865864.235964,4
"[652, 337]",1515865876.24538,1515865897.256277,4
"[652, 338]",1515865909.267499,1515865930.616455,4
"[652, 339]",1515865942.628557,1515865963.976498,4
"[652, 340]",1515865975.987765,1515865997.334138,4
"[652, 341]",1515866009.345288,1515866030.693894,4
"[652, 342]",1515866042.70432,1515866064.052294,4
"[652, 343]",1515866076.065619,1515866097.414568,4
"[652, 344]",1515866109.423011,1515866130.771482,4
"[652, 345]",1515866142.779372,1515866164.127392,4
"[652, 346]",1515866176.140343,1515866197.487843,4
"[652, 347]",1515866209.49958,1515866230.510206,4
"[652, 348]",1515866242.51872,1515866263.86782,4
"[652, 349]",1515866275.878385,1515866297.227186,4
"[652, 350]",1515866309.236022,1515866330.584699,4
"[652, 351]",1515866342.5939,1515866363.941821,4
"[652, 352]",1515866375.954053,1515866397.301613,4
"[652, 353]",1515866409.313628,1515866430.658091,4
"[652, 354]",1515866442.66627,1515866464.014687,4
"[652, 355]",1515866476.024037,1515866497.372532,4
"[652, 356]",1515866509.385334,1515866530.733253,4
"[652, 357]",1515866542.746145,1515866564.094993,4
"[652, 358]",1515866576.102343,1515866597.449529,4
"[652, 359]",1515866609.458446,1515866630.806586,4
"[652, 360]",1515866642.815977,1515866664.163985,4
"[652, 361]",1515866676.175212,1515866697.523408,4
"[652, 362]",1515866709.535055,1515866730.880366,4
"[652, 363]",1515866742.892287,1515866764.239755,4
"[652, 364]",1515866776.248149,1515866797.594793,4
"[652, 365]",1515866809.605642,1515866830.953812,4
"[652, 366]",1515866842.959504,1515866864.306875,4
"[652, 367]",1515866876.316364,1515866897.664531,4
"[652, 368]",1515866909.671517,1515866931.020085,4
"[652, 369]",1515866943.032139,1515866964.380974,4
"[652, 370]",1515866976.388659,1515866997.736683,4
"[652, 371]",1515867009.745509,1515867031.093167,4
"[652, 372]",1515867043.102094,1515867064.450155,4
"[652, 373]",1515867076.461236,1515867097.809595,4
"[652, 374]",1515867109.816593,1515867131.164471,4
"[652, 375]",1515867143.174114,1515867164.522576,4
"[652, 376]",1515867176.532054,1515867197.880265,4
"[652, 377]",1515867209.889499,1515867231.234173,4
"[652, 378]",1515867243.242084,1515867264.590247,4
"[652, 379]",1515867276.598519,1515867297.941482,4
"[652, 380]",1515867309.950544,1515867331.298813,4
"[652, 381]",1515867343.307705,1515867364.65571,4
"[652, 382]",1515867376.667303,1515867398.014154,4
"[652, 383]",1515867410.024333,1515867431.373737,4
"[652, 384]",1515867443.380082,1515867464.728676,4
"[652, 385]",1515867476.738132,1515867498.08424,4
"[652, 386]",1515867510.096066,1515867531.445312,4
"[652, 387]",1515867543.452875,1515867564.800594,4
"[652, 388]",1515867576.809125,1515867598.157033,4
"[652, 389]",1515867610.166463,1515867631.514815,4
"[652, 390]",1515867643.524718,1515867664.872568,4
"[652, 391]",1515867676.880609,1515867698.228003,4
"[652, 392]",1515867710.241365,1515867731.58794,4
"[652, 393]",1515867743.597966,1515867764.944868,4
"[652, 394]",1515867776.954263,1515867798.302392,4
"[652, 395]",1515867810.309487,1515867831.656463,4
"[652, 396]",1515867843.662609,1515867865.01093,4
"[652, 397]",1515867877.018491,1515867898.366017,4
"[652, 398]",1515867910.377731,1515867931.725151,4
"[652, 399]",1515867943.736188,1515867965.084451,4
"[652, 400]",1515867977.094536,1515867998.441779,4
"[652, 401]",1515868010.452966,1515868031.80114,4
"[652, 402]",1515868043.812401,1515868065.160579,4
"[652, 403]",1515868077.167362,1515868098.515731,4
"[652, 404]",1515868110.523026,1515868131.871152,4
"[652, 405]",1515868143.878486,1515868165.225099,4
"[652, 406]",1515868177.234084,1515868198.582357,4
"[652, 407]",1515868210.592428,1515868231.94082,4
"[652, 408]",1515868243.952459,1515868264.963408,4
"[652, 409]",1515868276.972506,1515868298.320252,4
"[652, 410]",1515868310.33007,1515868331.341172,4
"[652, 411]",1515868343.352496,1515868364.701375,4
"[652, 412]",1515868376.712808,1515868398.061149,4
"[652, 413]",1515868410.067429,1515868431.415463,4
"[652, 414]",1515868443.423575,1515868464.771426,4
"[652, 415]",1515868476.781637,1515868498.130071,4
"[652, 416]",1515868510.138667,1515868531.486935,4
"[652, 417]",1515868543.496281,1515868564.844426,4
"[652, 418]",1515868576.856284,1515868598.205058,4
"[652, 419]",1515868610.21367,1515868631.561598,4
"[652, 420]",1515868643.57238,1515868664.92039,4
"[652, 421]",1515868676.930083,1515868698.27753,4
"[652, 422]",1515868710.288401,1515868731.634932,4
"[652, 423]",1515868743.645587,1515868764.993801,4
"[652, 424]",1515868777.002836,1515868798.349317,4
"[652, 425]",1515868810.357167,1515868831.705447,4
"[652, 426]",1515868843.714284,1515868865.061868,4
"[652, 427]",1515868877.070415,1515868898.418609,4
"[652, 428]",1515868910.428633,1515868931.776247,4
"[652, 429]",1515868943.787833,1515868965.135909,4
"[652, 430]",1515868977.145644,1515868998.493803,4
"[652, 431]",1515869010.501828,1515869031.850152,4
"[652, 432]",1515869043.859569,1515869065.206636,4
"[652, 433]",1515869077.216333,1515869098.564205,4
"[652, 434]",1515869110.574936,1515869131.922698,4
"[652, 435]",1515869143.930962,1515869165.279216,4
"[652, 436]",1515869177.289187,1515869198.636329,4
"[652, 437]",1515869210.642405,1515869231.989845,4
"[652, 438]",1515869243.998945,1515869265.347185,4
"[652, 439]",1515869277.354573,1515869298.702089,4
"[652, 440]",1515869310.71288,1515869332.060775,4
"[652, 441]",1515869344.072039,1515869365.420392,4
"[652, 442]",1515869377.43071,1515869398.779565,4
"[652, 443]",1515869410.790672,1515869432.139438,4
"[652, 444]",1515869444.149887,1515869465.497557,4
"[652, 445]",1515869477.506367,1515869498.8544,4
"[652, 446]",1515869510.862843,1515869532.210239,4
"[652, 447]",1515869544.22067,1515869565.566214,4
"[652, 448]",1515869577.578084,1515869598.926359,4
"[652, 449]",1515869610.937333,1515869632.285628,4
"[652, 450]",1515869644.295077,1515869665.64273,4
"[652, 451]",1515869677.652823,1515869699.000184,4
"[652, 452]",1515869711.008655,1515869732.356901,4
"[652, 453]",1515869744.368257,1515869765.716474,4
"[652, 454]",1515869777.724102,1515869799.072178,4
"[652, 455]",1515869811.081985,1515869832.430035,4
"[652, 456]",1515869844.439917,1515869865.788656,4
"[652, 457]",1515869877.795612,1515869899.144086,4
"[652, 458]",1515869911.150125,1515869932.498163,4
